Start Time,Stop Time,Duration,Type,MP3 File,Transcript File,Transcript,Speakers,Dominant_Speaker,Predicted_Label
409.797,410.497,0.7,speech,,,[SPEAKER_17] 바카바카하다고.,SPEAKER_14:0.57s(1.000),SPEAKER_14,DJ
410.497,410.517,0.02,silence,,,,,,SILENCE
410.517,410.999,0.482,speech,,,[SPEAKER_16] 진짜요?,SPEAKER_14:0.48s(1.000),SPEAKER_14,DJ
410.999,411.019,0.02,silence,,,,,,SILENCE
411.019,412.54,1.521,speech,,,[SPEAKER_16] 저는 오글거려서 기절하는 줄.,SPEAKER_14:1.52s(1.000),SPEAKER_14,DJ
412.54,412.56,0.02,silence,,,,,,SILENCE
412.56,416.786,4.226,speech,,,[SPEAKER_16] 8223님은 엊그제 한강공원 갔대요.,SPEAKER_14:3.38s(1.000),SPEAKER_14,DJ
416.786,416.807,0.021,silence,,,,,,SILENCE
416.807,420.271,3.464,speech,,,[SPEAKER_16] 근데 지금도 젊은 커플들이 나잡아...,SPEAKER_14:3.46s(1.000),SPEAKER_14,DJ
420.271,420.504,0.233,silence,,,,,,SILENCE
420.504,421.846,1.342,speech,,,[SPEAKER_16] 를 하더라고요.,SPEAKER_14:1.34s(1.000),SPEAKER_14,DJ
421.846,421.968,0.122,silence,,,,,,SILENCE
421.968,423.329,1.361,speech,,,[SPEAKER_16] 유구한 클래식이라고.,SPEAKER_14:1.36s(1.000),SPEAKER_14,DJ
423.329,423.35,0.021,silence,,,,,,SILENCE
423.35,423.891,0.541,speech,,,[SPEAKER_16] 진짜요?,SPEAKER_14:0.54s(1.000),SPEAKER_14,DJ
423.891,424.512,0.621,silence,,,,,,SILENCE
424.512,430.201,5.689,speech,,,[SPEAKER_16] 그중에 왜 너 잡힘 진다 하는 사람은 없나요?,SPEAKER_14:3.68s(1.000),SPEAKER_14,DJ
430.201,430.221,0.02,silence,,,,,,SILENCE
430.221,433.307,3.086,speech,,,[SPEAKER_16] 저는 이런 거 한 번도 해본 적이 없어가지고.,SPEAKER_14:2.26s(1.000),SPEAKER_14,DJ
433.307,433.387,0.08,silence,,,,,,SILENCE
433.387,436.372,2.985,speech,,,[SPEAKER_16] 7290님은 저는 자주 유치한 어른이에요.,SPEAKER_14:2.48s(1.000),SPEAKER_14,DJ
436.372,436.392,0.02,silence,,,,,,SILENCE
436.392,437.714,1.322,speech,,,[SPEAKER_16] 특히 아이랑 게임할 때요.,SPEAKER_14:1.32s(1.000),SPEAKER_14,DJ
437.714,438.036,0.322,silence,,,,,,SILENCE
438.036,438.776,0.74,speech,,,[SPEAKER_16] 저도 승부욕이 있어서.,SPEAKER_14:0.74s(1.000),SPEAKER_14,DJ
438.776,439.338,0.562,silence,,,,,,SILENCE
439.338,439.999,0.661,speech,,,[SPEAKER_16] 저도 저도.,SPEAKER_14:0.22s(1.000),SPEAKER_14,DJ
439.999,440.3,0.301,silence,,,,,,SILENCE
440.3,441.721,1.421,speech,,,[SPEAKER_16] 절대 안 지고 싶거든요.,SPEAKER_14:1.42s(1.000),SPEAKER_14,DJ
441.721,441.74,0.019,silence,,,,,,SILENCE
441.74,441.821,0.081,speech,,,[SPEAKER_16] 저도요.,SPEAKER_14:0.08s(1.000),SPEAKER_14,DJ
441.821,442.482,0.661,silence,,,,,,SILENCE
442.482,443.302,0.82,speech,,,[SPEAKER_16] 그걸 알려줘야죠.,SPEAKER_14:0.82s(1.000),SPEAKER_14,DJ
443.302,443.382,0.08,silence,,,,,,SILENCE
443.382,445.764,2.382,speech,,,[SPEAKER_16] 세상이 그렇게 호락호락하지 않다.,SPEAKER_14:1.79s(1.000),SPEAKER_14,DJ
445.764,445.785,0.021,silence,,,,,,SILENCE
445.785,447.947,2.162,speech,,,[SPEAKER_16] 승부를 걸고 아이랑 자주 싸운대요.,SPEAKER_14:2.16s(1.000),SPEAKER_14,DJ
447.947,447.966,0.019,silence,,,,,,SILENCE
447.966,451.949,3.983,speech,,,[SPEAKER_16] 근데 또 봐주고 그러면 애가 다 알고 일부러 져주지 말라고 하더라고요.,SPEAKER_14:3.98s(1.000),SPEAKER_14,DJ
451.949,451.971,0.022,silence,,,,,,SILENCE
451.971,452.531,0.56,speech,,,[SPEAKER_16] 어쩌라는 거지?,SPEAKER_14:0.56s(1.000),SPEAKER_14,DJ
452.531,454.632,2.101,silence,,,,,,SILENCE
454.632,456.535,1.903,speech,,,[SPEAKER_16] 되게 똑똑한 아이네요.,SPEAKER_14:1.90s(1.000),SPEAKER_14,DJ
456.535,456.555,0.02,silence,,,,,,SILENCE
456.555,457.375,0.82,speech,,,[SPEAKER_16] 저도 좀 안 봐줘요.,SPEAKER_14:0.82s(1.000),SPEAKER_14,DJ
457.375,457.394,0.019,silence,,,,,,SILENCE
457.394,459.576,2.182,speech,,,[SPEAKER_16] 그리고 심지어 울리기까지요.,SPEAKER_14:2.18s(1.000),SPEAKER_14,DJ
459.576,459.596,0.02,silence,,,,,,SILENCE
459.596,463.781,4.185,speech,,,[SPEAKER_16] 그러면 이제는 많이 커서 울려야 좀 아이가거든요.,SPEAKER_14:4.19s(1.000),SPEAKER_14,DJ
463.781,463.8,0.019,silence,,,,,,SILENCE
463.8,465.423,1.623,speech,,,[SPEAKER_16] 그래서 한 번씩 우는 거 봐요.,SPEAKER_14:1.62s(1.000),SPEAKER_14,DJ
465.423,465.442,0.019,silence,,,,,,SILENCE
465.442,466.983,1.541,speech,,,[SPEAKER_16] 너무 귀여운 거예요.,SPEAKER_14:1.54s(1.000),SPEAKER_14,DJ
466.983,467.004,0.021,silence,,,,,,SILENCE
467.004,469.266,2.262,speech,,,[SPEAKER_16] 너무 짓궂다고 혼났어요.,SPEAKER_14:2.26s(1.000),SPEAKER_14,DJ
469.266,469.286,0.02,silence,,,,,,SILENCE
469.286,470.307,1.021,speech,,,[SPEAKER_16] 그래서 요즘엔 좀 장난 안 쳐요.,SPEAKER_14:0.98s(1.000),SPEAKER_14,DJ
470.286,489.223,18.937,speech,,,[SPEAKER_16] 지효님은 오늘 보라 고정인가요 아숩 지금은 보라가 복구가 됐어요 하지만 생방이에요 하지만 저 혼자 있는 날은 좀 편하게 한 번씩 보라 없이 이렇게 진행을 해보려고요 근데 이런 날은 제가 고릴라를 더 봅니다 게시판도 보고요 그러니까 여러분 욕 쓰시면 안 돼요,SPEAKER_14:16.49s(1.000),SPEAKER_14,DJ
489.223,489.608,0.385,silence,,,,,,SILENCE
489.608,508.107,18.499,speech,,,[SPEAKER_16] 꼭 한 명씩 욕해서 상처 주는 사람이 있더라 그러면 고릴라 볼 맛이 안 나거든요 욕을 할 수 있어요 지적을 할 수 있어 근데 진짜 대놓고 인신공격하는 분들은 그냥 무시를 해야 되기 때문에 그냥 그때 딱 끄거든요 아무튼 욕하지 말고 아무튼,SPEAKER_14:17.52s(1.000),SPEAKER_14,DJ
508.086,513.397,5.311,speech,,,[SPEAKER_16] 2부에는 노래와 선물이 쏟아지는 무비꼬꼬무로 꾸며 드려요.,SPEAKER_14:4.66s(1.000),SPEAKER_14,DJ
513.397,513.417,0.02,silence,,,,,,SILENCE
513.417,520.91,7.493,speech,,,[SPEAKER_16] 저희가 제시한 영화의 꼬리에 꼬리에 꼬리에 꼬리를 물어서 또 다른 영화를 연상해서 보내주시는 코너인데요.,SPEAKER_14:7.49s(1.000),SPEAKER_14,DJ
520.91,521.251,0.341,silence,,,,,,SILENCE
521.251,523.817,2.566,speech,,,[SPEAKER_16] 뭐 설명은 이렇게 어렵지만 굉장히 쉬워요.,SPEAKER_14:1.92s(1.000),SPEAKER_14,DJ
523.797,548.226,24.429,speech,,,[SPEAKER_16] 소개된 모든 분께 커피와 도넛 세트 교환권 드리니까 기대 많이 해주시고 듣고 싶은 노래가 있다 하고 싶은 이야기가 있다 그럼 지금 바로 무료인 고릴라나 제가 지켜보고 있다고 했죠 샵 1077 50원의 유료 문자로 보내주세요 그럼 우리 광고 듣고 다시 만나요 팀장님 연금도 투자하세요?,SPEAKER_14:21.12s(0.988);SPEAKER_15:0.27s(0.012),SPEAKER_14,DJ
548.226,548.626,0.4,silence,,,,,,SILENCE
548.626,551.07,2.444,speech,,,[SPEAKER_07] 알아서 크는 연금은 없으니까 투자해야죠,SPEAKER_46:2.39s(0.980);SPEAKER_15:0.05s(0.020),SPEAKER_46,AD
551.07,551.118,0.048,silence,,,,,,SILENCE
551.118,554.783,3.665,speech,,,[SPEAKER_16] 아 투자의 차이가 연금의 차이?,SPEAKER_15:2.58s(0.818);SPEAKER_46:0.57s(0.182),SPEAKER_15,AD
554.783,554.802,0.019,silence,,,,,,SILENCE
554.802,572.788,17.986,speech,,,[SPEAKER_17] 이제 연금도 투자다 N2 퇴직연금 역시 고용노동부가 선정한 2024년 퇴직연금 우수사업자 NH투자증권 원금 손실 유의 가입 전 상품설명서 및 약관필독 한 회사를 똑같이 다녔는데 동기보다 내가 세금도 많이 내면 속이 타 안타 그럼 갈아타,SPEAKER_05:7.84s(0.444);SPEAKER_15:7.13s(0.404);SPEAKER_46:2.68s(0.152),SPEAKER_05,AD
572.768,580.159,7.391,speech,,,[SPEAKER_17] 삼성증권 퇴직연금으로 연말정산 최대 900만원까지 공제받으니까 당신의 연금력이 커집니다.,SPEAKER_16:7.37s(1.000),SPEAKER_16,AD
580.159,580.179,0.02,silence,,,,,,SILENCE
580.179,580.921,0.742,speech,,,[SPEAKER_17] 삼성증권.,SPEAKER_16:0.52s(0.702);SPEAKER_04:0.22s(0.298),SPEAKER_16,AD
580.921,580.941,0.02,silence,,,,,,SILENCE
580.941,582.583,1.642,speech,,,[SPEAKER_10] 투자 전 상품 설명서 및 약관 필터.,SPEAKER_04:1.64s(1.000),SPEAKER_04,AD
582.583,582.604,0.021,silence,,,,,,SILENCE
582.604,584.225,1.621,speech,,,[SPEAKER_10] 원금 손실 발생 가능 및 투자자 비속.,SPEAKER_04:1.62s(1.000),SPEAKER_04,AD
584.225,584.245,0.02,silence,,,,,,SILENCE
584.245,586.37,2.125,speech,,,[SPEAKER_10] 보수는 연 0.24에서 0.3%이며 홈페이지 참고.,SPEAKER_04:1.90s(0.896);SPEAKER_05:0.20s(0.094);SPEAKER_13:0.02s(0.009),SPEAKER_04,AD
586.37,586.47,0.1,silence,,,,,,SILENCE
586.47,587.692,1.222,speech,,,[SPEAKER_07] 장비 관리하다 하루 다 갔네.,SPEAKER_05:1.22s(1.000),SPEAKER_05,AD
587.692,587.871,0.179,silence,,,,,,SILENCE
587.871,589.774,1.903,speech,,,[SPEAKER_17] 장비도 시간도 아끼세요.,SPEAKER_13:1.90s(1.000),SPEAKER_13,AD
589.774,589.794,0.02,silence,,,,,,SILENCE
589.794,589.875,0.081,speech,,,[SPEAKER_17] 어떻게?,SPEAKER_13:0.08s(1.000),SPEAKER_13,AD
589.875,589.894,0.019,silence,,,,,,SILENCE
589.894,592.178,2.284,speech,,,[SPEAKER_17] 글로벌 표준의 안전한 최신 장비로.,SPEAKER_13:2.28s(1.000),SPEAKER_13,AD
592.178,592.198,0.02,silence,,,,,,SILENCE
592.198,592.499,0.301,speech,,,[SPEAKER_17] 고장나면.,SPEAKER_13:0.30s(1.000),SPEAKER_13,AD
592.499,592.519,0.02,silence,,,,,,SILENCE
592.519,594.403,1.884,speech,,,[SPEAKER_15] 정기정고매 대체 장비도 지원돼요.,SPEAKER_13:1.88s(1.000),SPEAKER_13,AD
594.403,597.587,3.184,silence,,,,,,SILENCE
597.587,597.727,0.14,speech,,,[SPEAKER_18] 그랜탈 뭔데?,SPEAKER_13:0.14s(1.000),SPEAKER_13,AD
597.727,597.748,0.021,silence,,,,,,SILENCE
597.748,598.489,0.741,speech,,,[SPEAKER_18] 롯데 롯데 롯데비즈랑탈.,SPEAKER_13:0.74s(1.000),SPEAKER_13,AD
598.489,600.764,2.275,silence,,,,,,SILENCE
600.764,626.215,25.451,speech,,,[SPEAKER_18] 자세한 사항은 국번 없이 129로 문의 바랍니다 보건복지부가 힘이 되어 드리겠습니다,SPEAKER_09:20.30s(0.805);SPEAKER_01:1.94s(0.077);SPEAKER_13:1.85s(0.073);SPEAKER_11:1.05s(0.041);SPEAKER_19:0.08s(0.003),SPEAKER_09,AD
626.195,655.662,29.467,speech,,,[SPEAKER_17] 안녕하세요 이재훈입니다 가장 살기 좋은 집이 되도록 가장 빛나는 삶이 펼쳐지도록 삶을 움직이는 집 동문 디스트,SPEAKER_19:18.39s(0.695);SPEAKER_01:8.09s(0.305),SPEAKER_19,AD
655.662,655.743,0.081,silence,,,,,,SILENCE
655.743,667.49,11.747,speech,,,[SPEAKER_18] 안녕하세요.,SPEAKER_02:10.16s(0.942);SPEAKER_12:0.63s(0.058),SPEAKER_02,AD
667.49,667.971,0.481,silence,,,,,,SILENCE
667.971,670.878,2.907,speech,,,[SPEAKER_00] 신한 프리미어 모델 김수현입니다.,SPEAKER_12:1.99s(1.000),SPEAKER_12,AD
670.878,670.898,0.02,silence,,,,,,SILENCE
670.898,674.004,3.106,speech,,,[SPEAKER_00] 여러분께 특별한 자산관리를 소개합니다.,SPEAKER_12:2.39s(1.000),SPEAKER_12,AD
674.004,674.068,0.064,silence,,,,,,SILENCE
674.068,677.813,3.745,speech,,,"[SPEAKER_00] 투자, 법률, 세무, 부동산.",SPEAKER_12:2.22s(1.000),SPEAKER_12,AD
677.813,677.833,0.02,silence,,,,,,SILENCE
677.833,682.5,4.667,speech,,,[SPEAKER_00] 각 분야 전문가들이 당신만을 위한 맞춤 솔루션을 찾아드립니다.,SPEAKER_12:3.91s(1.000),SPEAKER_12,AD
682.5,682.519,0.019,silence,,,,,,SILENCE
682.519,683.321,0.802,speech,,,[SPEAKER_00] 지금 만나보세요.,SPEAKER_12:0.80s(1.000),SPEAKER_12,AD
683.321,683.861,0.54,silence,,,,,,SILENCE
683.861,687.667,3.806,speech,,,[SPEAKER_00] 자산관리는 신한프리미어.,SPEAKER_12:1.61s(1.000),SPEAKER_12,AD
687.667,687.687,0.02,silence,,,,,,SILENCE
687.687,690.029,2.342,speech,,,[SPEAKER_00] 여러분은 지금 가수 성시경이 사랑하는.,SPEAKER_12:1.92s(0.937);SPEAKER_44:0.13s(0.063),SPEAKER_12,AD
690.029,690.049,0.02,silence,,,,,,SILENCE
690.049,691.15,1.101,speech,,,[SPEAKER_07] 배우 정혜인이 사랑하는.,SPEAKER_44:1.10s(1.000),SPEAKER_44,AD
691.15,693.855,2.705,silence,,,,,,SILENCE
693.855,694.956,1.101,speech,,,[SPEAKER_18] 배우 엄지원이 사랑하는.,SPEAKER_09:0.70s(0.978);SPEAKER_01:0.02s(0.022),SPEAKER_09,AD
694.956,694.975,0.019,silence,,,,,,SILENCE
694.975,695.417,0.442,speech,,,[SPEAKER_12] 배우 구교환이 사랑하고.,SPEAKER_01:0.44s(1.000),SPEAKER_01,AD
695.417,695.437,0.02,silence,,,,,,SILENCE
695.437,696.739,1.302,speech,,,[SPEAKER_12] 영화감독 장항준이 함께하는.,SPEAKER_01:1.30s(1.000),SPEAKER_01,AD
696.739,697.98,1.241,silence,,,,,,SILENCE
697.98,699.402,1.422,speech,,,[SPEAKER_07] 박하선의 씨네타운과 함께하고 있습니다.,SPEAKER_44:1.40s(0.985);SPEAKER_01:0.02s(0.015),SPEAKER_44,AD
699.402,707.261,7.859,silence,,,,,,SILENCE
707.261,711.264,4.003,speech,,,[SPEAKER_16] 영화는 방울방울,SPEAKER_14:2.01s(1.000),SPEAKER_14,DJ
711.264,715.767,4.503,silence,,,,,,SILENCE
715.767,722.654,6.887,speech,,,[SPEAKER_16] 그날의 영화 그 안에 척 광호님이 보내주신 사연입니다.,SPEAKER_14:5.14s(1.000),SPEAKER_14,DJ
722.654,722.674,0.02,silence,,,,,,SILENCE
722.674,727.36,4.686,speech,,,[SPEAKER_16] 제가 아내와 처음 함께 본 영화는 트와일라잇이었습니다.,SPEAKER_14:3.94s(1.000),SPEAKER_14,DJ
727.36,727.38,0.02,silence,,,,,,SILENCE
727.38,737.793,10.413,speech,,,[SPEAKER_16] 우리는 영화관에 나란히 앉아 신비로운 숲속에서 사랑에 빠진 벨라와 뱀파이어 에드워드의 이야기를 감명 깊게 봤죠.,SPEAKER_14:9.01s(1.000),SPEAKER_14,DJ
737.793,737.813,0.02,silence,,,,,,SILENCE
737.813,741.538,3.725,speech,,,[SPEAKER_16] 트와일라잇을 본 후 아내는 종종 제게 이런 얘기를 했습니다.,SPEAKER_14:3.52s(1.000),SPEAKER_14,DJ
741.518,746.668,5.15,speech,,,[SPEAKER_16] 아 나는 언젠가 꼭 저 미국 포크스에 가보고 싶어,SPEAKER_14:4.49s(1.000),SPEAKER_14,DJ
746.668,747.812,1.144,silence,,,,,,SILENCE
747.812,751.956,4.144,speech,,,[SPEAKER_16] 포크스는요 그 영화의 배경이 된 작은 마을이었어요.,SPEAKER_14:3.69s(1.000),SPEAKER_14,DJ
751.956,751.976,0.02,silence,,,,,,SILENCE
751.976,760.945,8.969,speech,,,[SPEAKER_16] 저는 아내와 꼭 포크스에 함께 가겠다고 약속을 했고 결혼 후 드디어 그 약속을 지키게 되었습니다.,SPEAKER_14:7.40s(1.000),SPEAKER_14,DJ
760.945,760.965,0.02,silence,,,,,,SILENCE
760.965,767.27,6.305,speech,,,[SPEAKER_16] 포크스에 도착하던 날 하늘은 흐렸고 공기는 촉촉했습니다.,SPEAKER_14:4.68s(1.000),SPEAKER_14,DJ
767.27,767.471,0.201,silence,,,,,,SILENCE
767.471,777.38,9.909,speech,,,[SPEAKER_16] 마치 영화 속 한 장면을 옮겨 놓은 것처럼 고요하고 몽환적인 마을 풍경을 보며 우린 둘 다 묘한 설렘을 느꼈죠.,SPEAKER_14:8.51s(1.000),SPEAKER_14,DJ
777.36,786.412,9.052,speech,,,[SPEAKER_16] 작은 카페에 앉아서 창밖을 보면서 커피를 마시는데 금방이라도 벨라와 에드워드가 달려올 것 같았습니다.,SPEAKER_14:7.93s(1.000),SPEAKER_14,DJ
786.412,786.432,0.02,silence,,,,,,SILENCE
786.432,794.02,7.588,speech,,,[SPEAKER_16] 그렇게 생각하니까 아내와의 약속을 지켰다는 사실에 가슴이 벅차오르다군요.,SPEAKER_14:5.66s(1.000),SPEAKER_14,DJ
794.02,794.041,0.021,silence,,,,,,SILENCE
794.041,801.369,7.328,speech,,,[SPEAKER_16] 트와일라이트에 나왔던 숲에 들어섰을 때 저는 나지막한 목소리로 말했습니다.,SPEAKER_14:4.83s(1.000),SPEAKER_14,DJ
801.369,801.389,0.02,silence,,,,,,SILENCE
801.389,804.533,3.144,speech,,,[SPEAKER_16] 나는 인간의 피에 끌리는 뱀파이어야.,SPEAKER_14:2.99s(1.000),SPEAKER_14,DJ
804.533,806.385,1.852,silence,,,,,,SILENCE
806.385,836.157,29.772,speech,,,[SPEAKER_16] 제가 영화 속 에드워드의 대사를 흉내 내니까 아내가 그러더군요 어 미안 얼굴이 영 달라서 몰입이 안되네 그렇게 장난을 치며 크게 웃었던 그 순간이 우리의 여행에서 가장 재밌고 사랑스러운 기억이 됐습니다 마치 영화 속 한 장면에 들어갔다가 나온 것처럼 행복했던 여행 저는 집으로 돌아오는 비행기 안에서 아내와 한 번 더 약속했습니다,SPEAKER_14:25.04s(1.000),SPEAKER_14,DJ
836.157,836.98,0.823,silence,,,,,,SILENCE
836.98,842.325,5.345,speech,,,[SPEAKER_16] 나중에 나이가 들어서 꼭 이 포크스에 다시 오자고 말이죠.,SPEAKER_14:4.42s(1.000),SPEAKER_14,DJ
842.325,842.345,0.02,silence,,,,,,SILENCE
842.345,863.384,21.039,speech,,,[SPEAKER_16] 포크스에서 쌓은 소중한 추억들을 가슴에 품고 우리 부부는 일상 속에서 영화 같은 삶을 살아가고 있습니다.,SPEAKER_14:8.73s(0.740);SPEAKER_36:3.06s(0.260),SPEAKER_14,DJ
863.384,863.403,0.019,silence,,,,,,SILENCE
863.403,864.404,1.001,speech,,,[SPEAKER_06] If you ever leave me baby Leave some more feelings,SPEAKER_36:1.00s(1.000),SPEAKER_36,MUSIC
864.404,968.722,104.318,music,,,,,,MUSIC
968.722,996.822,28.1,speech,,,[SPEAKER_06] 으 으 으,SPEAKER_36:24.44s(1.000),SPEAKER_36,AD
996.822,1087.472,90.65,music,,,,,,MUSIC
1087.472,1091.678,4.206,speech,,,[SPEAKER_06] 감사합니다.,SPEAKER_36:0.92s(1.000),SPEAKER_36,AD
1091.678,1109.005,17.327,silence,,,,,,SILENCE
1109.005,1114.594,5.589,speech,,,[SPEAKER_16] 영화 트와일라잇 브레이킹덴에서 너무 굴렸다.,SPEAKER_14:4.16s(1.000),SPEAKER_14,DJ
1114.594,1114.614,0.02,silence,,,,,,SILENCE
1114.614,1117.117,2.503,speech,,,[SPEAKER_16] 브로너마스의 It Will Rain 듣고 왔습니다.,SPEAKER_14:2.50s(1.000),SPEAKER_14,DJ
1117.117,1117.137,0.02,silence,,,,,,SILENCE
1117.137,1125.511,8.374,speech,,,[SPEAKER_16] 2008년에 개봉한 영화 트와일라잇 레드라이딩 후드 돈 룩 디퍼를 만든 캐서린 하드윅 감독의 작품.,SPEAKER_14:7.23s(1.000),SPEAKER_14,DJ
1125.511,1125.728,0.217,silence,,,,,,SILENCE
1125.728,1130.614,4.886,speech,,,[SPEAKER_16] 크리스틴 스튜어트 로버트 패틴슨이 주연을 맡았어요.,SPEAKER_14:4.22s(1.000),SPEAKER_14,DJ
1130.614,1130.634,0.02,silence,,,,,,SILENCE
1130.634,1141.147,10.513,speech,,,[SPEAKER_16] 평범한 17살 소녀 벨라가 포크스에 있는 아버지의 집에 살게 되면서 뱀파이어 에드워드를 만나게 되고 그와 사랑에 빠지게 되는 이야기를 담은 작품.,SPEAKER_14:9.28s(1.000),SPEAKER_14,DJ
1141.147,1141.167,0.02,silence,,,,,,SILENCE
1141.167,1144.23,3.063,speech,,,[SPEAKER_16] 총 5편의 시리즈로 만들어졌습니다.,SPEAKER_14:3.06s(1.000),SPEAKER_14,DJ
1144.23,1144.25,0.02,silence,,,,,,SILENCE
